ResourceType     Locations    Name                      Zones    Restrictions
virtualMachines  eastus       Standard_DC64ads_v5       2        None
virtualMachines  eastus       Standard_DC64as_v5        2        None
virtualMachines  eastus       Standard_DC8ads_v5        2        None
virtualMachines  eastus       Standard_DC8as_v5         2        None
virtualMachines  eastus       Standard_DC8ds_v3         3        None
virtualMachines  eastus       Standard_DC8s_v3          3        None
virtualMachines  eastus       Standard_DC8_v2           1,2,3    None
virtualMachines  eastus       Standard_DC96ads_v5       2        None
virtualMachines  eastus       Standard_DC96as_v5        2        None
virtualMachines  eastus       Standard_DS11-1_v2        1,2,3    None
virtualMachines  eastus       Standard_DS11_v2          1,2,3    None
virtualMachines  eastus       Standard_DS12-1_v2        1,2,3    None
virtualMachines  eastus       Standard_DS12-2_v2        1,2,3    None
virtualMachines  eastus       Standard_DS12_v2          1,2,3    None
virtualMachines  eastus       Standard_DS13-2_v2        1,2,3    None
virtualMachines  eastus       Standard_DS13-4_v2        1,2,3    None
virtualMachines  eastus       Standard_DS13_v2          1,2,3    None
virtualMachines  eastus       Standard_DS14-4_v2        1,2,3    None
virtualMachines  eastus       Standard_DS14-8_v2        1,2,3    None
virtualMachines  eastus       Standard_DS14_v2          1,2,3    None
virtualMachines  eastus       Standard_DS1_v2           1,2,3    None
virtualMachines  eastus       Standard_DS2_v2           1,2,3    None
virtualMachines  eastus       Standard_DS3_v2           1,2,3    None
virtualMachines  eastus       Standard_DS4_v2           1,2,3    None
virtualMachines  eastus       Standard_DS5_v2           1,2,3    None
virtualMachines  eastus       Standard_E104ids_v5       1,2,3    None
virtualMachines  eastus       Standard_E104id_v5        1,2,3    None
virtualMachines  eastus       Standard_E104is_v5        1,2,3    None
virtualMachines  eastus       Standard_E104i_v5         1,2,3    None
virtualMachines  eastus       Standard_E112iads_v5      1,2,3    None
virtualMachines  eastus       Standard_E112ias_v5       1,2,3    None
virtualMachines  eastus       Standard_E16-4ds_v4       1,2,3    None
virtualMachines  eastus       Standard_E16-4ds_v5       1,2,3    None
virtualMachines  eastus       Standard_E16-4s_v3        1,2,3    None
virtualMachines  eastus       Standard_E16-4s_v4        1,2,3    None
virtualMachines  eastus       Standard_E16-4s_v5        1,2,3    None
virtualMachines  eastus       Standard_E16-8ds_v4       1,2,3    None
virtualMachines  eastus       Standard_E16-8ds_v5       1,2,3    None
virtualMachines  eastus       Standard_E16-8s_v3        1,2,3    None
virtualMachines  eastus       Standard_E16-8s_v4        1,2,3    None
virtualMachines  eastus       Standard_E16-8s_v5        1,2,3    None
virtualMachines  eastus       Standard_E16bds_v5        1,2,3    None
virtualMachines  eastus       Standard_E16bs_v5         1,2,3    None
virtualMachines  eastus       Standard_E16ds_v4         1,2,3    None
virtualMachines  eastus       Standard_E16ds_v5         1,2,3    None
virtualMachines  eastus       Standard_E16d_v4          1,2,3    None
virtualMachines  eastus       Standard_E16d_v5          1,2,3    None
virtualMachines  eastus       Standard_E16pds_v5        1,2,3    None
virtualMachines  eastus       Standard_E16ps_v5         1,2,3    None
virtualMachines  eastus       Standard_E16s_v3          1,2,3    None
virtualMachines  eastus       Standard_E16s_v4          1,2,3    None
virtualMachines  eastus       Standard_E16s_v5          1,2,3    None
virtualMachines  eastus       Standard_E16_v3           1,2,3    None
virtualMachines  eastus       Standard_E16_v4           1,2,3    None
virtualMachines  eastus       Standard_E16_v5           1,2,3    None
virtualMachines  eastus       Standard_E20ds_v4         1,2,3    None
virtualMachines  eastus       Standard_E20ds_v5         1,2,3    None
virtualMachines  eastus       Standard_E20d_v4          1,2,3    None
virtualMachines  eastus       Standard_E20d_v5          1,2,3    None
virtualMachines  eastus       Standard_E20pds_v5        1,2,3    None
virtualMachines  eastus       Standard_E20ps_v5         1,2,3    None
virtualMachines  eastus       Standard_E20s_v3          1,2,3    None
virtualMachines  eastus       Standard_E20s_v4          1,2,3    None
virtualMachines  eastus       Standard_E20s_v5          1,2,3    None
virtualMachines  eastus       Standard_E20_v3           1,2,3    None
virtualMachines  eastus       Standard_E20_v4           1,2,3    None
virtualMachines  eastus       Standard_E20_v5           1,2,3    None
virtualMachines  eastus       Standard_E2bds_v5         1,2,3    None
virtualMachines  eastus       Standard_E2bs_v5          1,2,3    None
virtualMachines  eastus       Standard_E2ds_v4          1,2,3    None
virtualMachines  eastus       Standard_E2ds_v5          1,2,3    None
virtualMachines  eastus       Standard_E2d_v4           1,2,3    None
virtualMachines  eastus       Standard_E2d_v5           1,2,3    None
virtualMachines  eastus       Standard_E2pds_v5         1,2,3    None
virtualMachines  eastus       Standard_E2ps_v5          1,2,3    None
virtualMachines  eastus       Standard_E2s_v3           1,2,3    None
virtualMachines  eastus       Standard_E2s_v4           1,2,3    None
virtualMachines  eastus       Standard_E2s_v5           1,2,3    None
virtualMachines  eastus       Standard_E2_v3            1,2,3    None
virtualMachines  eastus       Standard_E2_v4            1,2,3    None
virtualMachines  eastus       Standard_E2_v5            1,2,3    None
virtualMachines  eastus       Standard_E32-16ds_v4      1,2,3    None
virtualMachines  eastus       Standard_E32-16ds_v5      1,2,3    None
virtualMachines  eastus       Standard_E32-16s_v3       1,2,3    None
virtualMachines  eastus       Standard_E32-16s_v4       1,2,3    None
virtualMachines  eastus       Standard_E32-16s_v5       1,2,3    None
virtualMachines  eastus       Standard_E32-8ds_v4       1,2,3    None
virtualMachines  eastus       Standard_E32-8ds_v5       1,2,3    None
virtualMachines  eastus       Standard_E32-8s_v3        1,2,3    None
virtualMachines  eastus       Standard_E32-8s_v4        1,2,3    None
virtualMachines  eastus       Standard_E32-8s_v5        1,2,3    None
virtualMachines  eastus       Standard_E32bds_v5        1,2,3    None
virtualMachines  eastus       Standard_E32bs_v5         1,2,3    None
virtualMachines  eastus       Standard_E32ds_v4         1,2,3    None
virtualMachines  eastus       Standard_E32ds_v5         1,2,3    None
virtualMachines  eastus       Standard_E32d_v4          1,2,3    None
virtualMachines  eastus       Standard_E32d_v5          1,2,3    None
virtualMachines  eastus       Standard_E32pds_v5        1,2,3    None
virtualMachines  eastus       Standard_E32ps_v5         1,2,3    None
virtualMachines  eastus       Standard_E32s_v3          1,2,3    None
virtualMachines  eastus       Standard_E32s_v4          1,2,3    None
virtualMachines  eastus       Standard_E32s_v5          1,2,3    None
virtualMachines  eastus       Standard_E32_v3           1,2,3    None
virtualMachines  eastus       Standard_E32_v4           1,2,3    None
virtualMachines  eastus       Standard_E32_v5           1,2,3    None
virtualMachines  eastus       Standard_E4-2ds_v4        1,2,3    None
virtualMachines  eastus       Standard_E4-2ds_v5        1,2,3    None
virtualMachines  eastus       Standard_E4-2s_v3         1,2,3    None
virtualMachines  eastus       Standard_E4-2s_v4         1,2,3    None
virtualMachines  eastus       Standard_E4-2s_v5         1,2,3    None
virtualMachines  eastus       Standard_E48bds_v5        1,2,3    None
virtualMachines  eastus       Standard_E48bs_v5         1,2,3    None
virtualMachines  eastus       Standard_E48ds_v4         1,2,3    None
virtualMachines  eastus       Standard_E48ds_v5         1,2,3    None
virtualMachines  eastus       Standard_E48d_v4          1,2,3    None
virtualMachines  eastus       Standard_E48d_v5          1,2,3    None
virtualMachines  eastus       Standard_E48s_v3          1,2,3    None
virtualMachines  eastus       Standard_E48s_v4          1,2,3    None
virtualMachines  eastus       Standard_E48s_v5          1,2,3    None
virtualMachines  eastus       Standard_E48_v3           1,2,3    None
virtualMachines  eastus       Standard_E48_v4           1,2,3    None
